,title,개월,spell,token
7941,8월 시아기 직수 문이요~~,8개월,8월 시간 아기 직수 문이 요~~,시간 아기 직수 문 요
7942,시수 끊기 궁금해요(8월 시아기),8개월,시수 끊기 궁금해요(8월 시간 아기),수 시간 아기
7943,8월아기 ,8개월,8월 아기,아기
7944,압타밀액상 프레 시까지?,8개월,압타 밀액상 프레 시까지?,압타 밀액 프레 시
7945,(8월) 분유명 처음에 어떻게 먹이시나요?,8개월,(8월) 분유 명 처음에 어떻게 먹이시나요?,분유 명 처음
7946,유축로 8월-시까지 시 가능할까요?,8개월,유축로 8월-시간까지 시간 가능할까요?,유축로 시간 시간 요
7947,(8월) 식 후 량?,8개월,(8월) 식 후 량?,식 후 량
7948,8월 모유 불규칙 ,8개월,8월 모유 불규칙,모유 불규칙
7949,이제 8월~,8개월,이제 8월~,이제
7950,출산 후 8월 시 중인데 생리,8개월,출산 후 8월 시간 중인데 생리,출산 후 시간 중 생리
7951,8월 들어가요~모유 몇번 하세요??,8개월,8월 들어가요~모유 몇 번 하세요??,모유 몇 번
7952,모유 8월째에요..,8개월,모유 8월째에요..,모유
7953,8월이면 아직도 모유 거부 할까요?,8개월,8월이면 아직도 모유 거부 할까요?,모유 거부 요
7954,8월아기  궁금해요,8개월,8월 아기 궁금해요,아기
7955,만 8월 아가 양 공유해요,8개월,만 8월 아가 양 공유해요,만 아가 양 공유
7956,8월 모유양 감소??,8개월,8월 모유 양 감소??,모유 양 감소
7957,8월   좀 봐주세요 ㅠㅠ,8개월,8월 좀 봐주세요 ㅠㅠ,좀
7958,8갤 시  고민이많아요ㅠㅠ,8개월,8갤 시간 고민이 많아요 ㅠㅠ,시간 고민
7959,시수 자연스럽게 끊을 수 있나요?,9개월,시수 자연스럽게 끊을 수 있나요?,수 자연 수
7960,9월 시 시수?,9개월,9월 시간 시수?,시간 수
7961,9월아가예요.,9개월,9월 아가예요.,아가
7962,9월 아기 우유를 잘 안먹어요ㅠㅠ,9개월,9월 아기 우유를 잘 안 먹어요 ㅠㅠ,아기 우유 안
7963,9월 아기 하루에 분유 몇번주나요?,9개월,9월 아기 하루에 분유 몇 번 주나요?,아기 하루 분유 몇 번
7964,9월아기분유 달달한분유,9개월,9월 아기 분유 달달한 분유,아기 분유 달달 분유
7965,9월아기 분유 430ml 적은가요,9개월,9월 아기 분유 430ml 적은 가요,아기 분유 가요
7966,9월 전후 일찍 일어나는 아가들 첫수 몇시에 하시나요?,9개월,9월 전후 일찍 일어나는 아가들 첫 수 몇 시에 하시나요?,전후 일찍 아가 첫 수 몇 시
7967,9갤 아기 시수 다들 안하시나요? ㅜ,9개월,9갤 아기 시 수 다들 안 하시나요? ㅜ,아기 시 수 안
7968,9월 시수 끊고싶어요ㅜ,9개월,9월 시수 끊고 싶어요ㅜ,수
7969,"9월 시아기 분유, 직수거부요ㅠㅠ",9개월,"9월 시간 아기 분유, 직수 거부요ㅠㅠ",시간 아기 분유 직수 거부
7970,모유만 하다가 9월 시수를 분유로 해보려 하는데요..,9개월,모유만 하다가 9월 시수를 분유로 해보려 하는데요..,모유 수 분유
7971,9월아기 분유 400이하는 적나요??,9개월,9월 아기 분유 400 이하는 적나요??,아기 분유 이하
7972,9월아기- 분유 자주 바꿔도 괜찮나요 ??,9개월,9월 아기- 분유 자주 바꿔도 괜찮나요 ??,아기 분유 자주
7973,9월 분유 안먹는 아가,9개월,9월 분유 안 먹는 아가,분유 안 아가
7974,9월 모유아기 >7시막수후 시 3시에 깨서 우는건??,9개월,9월 모유아기 > 7시 막수 후 시 3시에 깨서 우는 건??,유아기 후 시 건
7975,요즘 갑자기 많이 먹어요,9개월,요즘 갑자기 많이 먹어요,요즘 갑자기
7976,"만9월 지난 아가 아직도 모유모유젖꼭지M사이즈, 업해줘야할까요?",9개월,"만 9월 지난 아가 아직도 모유 젖꼭지 M사이즈, 업해줘야 할까요?",만 지난 아가 모유 젖꼭지 사이즈 업 요
7977,분유 어케 끊나요?ㅠ애기가 분유만찾아요,9개월,분유 어케 끊나요?ㅠ 애기가 분유만 찾아요,분유 어케 애기 분유
7978,후기 분유,9개월,후기 분유,후기 분유
7979,9월 아기분유 한번먹일때 300미리이상?,9개월,9월 아기 분유 한번 먹일 때 300미리 이상?,아기 분유 한번 때 미리 이상
7980,저처럼 유두크신분계신가요?,9개월,저처럼 유두크 신 분계신가요?,저 유 두크 신 분계 신가
7981,9월인데 시수 못끊겠어요..ㅠ,9개월,9월인데 시 수 못 끊겠어요..ㅠ,시 수 못
7982,9월.모유요,9개월,9월 .모유요,모유
7983,곧 10월되는데요 아직도 시수를...,9개월,곧 10월 되는데요 아직도 시 수를...,곧 시 수
7984,9월 시아기 시중떼기 도와주세요..,9개월,9월 시간 아기 시 중 떼기 도와 주세요..,시간 아기 시 중 도
7985,9갤 분유아기 다시 된 시수. 도움요청이요!!ㅜㅜ,9개월,9갤 분유 아기 다시 된 시수. 도 움 요청이요!!ㅜㅜ,분유 아기 다시 수 도 움 요청
7986,시에서 분유으로~ 9갤아기 분유양 공유 부탁,9개월,시간에서 분유으로~ 9갤 아기 분유 양 공유 부탁,시간 분유 로 아기 분유 양 공유 부탁
7987,시맘 다유 시 하셨어요? 고민되요 ㅜ,9개월,시간 맘 다유 시 하셨어요? 고민되요 ㅜ,시간 맘 유 시 고민
7988,모유 9월차 제가 고열에 가슴이요,9개월,모유 9월차 제가 고열에 가슴이요,모유 제 고열 가슴
7989,9갤 시 다유..,9개월,9갤 시간 다유..,시간 유
7990,"9월,  몇번하세요?",9개월,"9월, 몇 번 하세요?",몇 번
7991,9월 아기 분유를 너무 안먹어요 400-500먹어요,9개월,9월 아기 분유를 너무 안 먹어요 400-500 먹어요,아기 분유 안
7992,시하시는 분들 시까지 하실 이세요?,9개월,시간 하시는 분들 시까지 하실 이세요?,시간 시 이세
7993,9월 시아기 분유으로 가는게 좋을까요??,9개월,9월 시간 아기 분유으로 가는 게 좋을까요??,시간 아기 분유 로 게
7994,9월 아기 침뱉어요,9개월,9월 아기 침 뱉어요,아기 침
7995,9월 아기 주식은 모유? 식?,9개월,9월 아기 주식은 모유? 식?,아기 주식 모유 식
7996,퓨어락으로 바꾸고 갑자기 분유를 너무 잘 먹어요!,9개월,퓨어락으로 바꾸고 갑자기 분유를 너무 잘 먹어요!,퓨어락 갑자기 분유
7997,9월 넘은 아기 며칠만 1단계분유 먹어도 될까요?,9개월,9월 넘은 아기 며칠만 1단계 분유 먹어도 될까요?,아기 며칠 단계 분유 요
7998,9갤 아기 분유타는  안데워도 괜찮죠?,9개월,9갤 아기 분유 타는 안데워도 괜찮죠?,아기 분유
7999,힙 3단계 갈지 음식내분유로 바꿀지 고민이요!,9개월,힙 3단계 갈지 음식 내분유로 바꿀지 고민이요!,힙 단계 음식 분유 고민
8000,9월 아기 분유 좀 공유 부탁드려요~~,9개월,9월 아기 분유 좀 공유 부탁드려 요~~,아기 분유 좀 공유 요
8001,9월아기,9개월,9월 아기,아기
8002,만9월아기 격 조언부탁드립니다.,9개월,만 9월 아기 격 조언 부탁드립니다.,만 아기 격 조언
8003,9월 분유 아기 모유 거부,9개월,9월 분유 아기 모유 거부,분유 아기 모유 거부
8004,가슴 안쪽이 찌릿찌릿한 통증(길지만 도움주시면 감사),9개월,가슴 안쪽이 찌릿찌릿한 통증(길지만 도움 주시면 감사),가슴 안쪽 통증 길 도움 주시 감사
8005,9월 모유 거부 어떻게없나요?,9개월,9월 모유 거부 어떻게 없나요?,모유 거부
8006,9갤아기 분유좀봐주세용!!,9개월,9갤아기 분유 좀 봐주세용 !!,분유 좀
8007,9월 직수 이제 모유 그만하고싶어여,9개월,9월 직수 이제 모유 그만하고 싶어 여,직수 이제 모유 여
8008,"9월아가 시중, 가슴이 막서 모유이 안나와요",9개월,"9월 아가 시간 중, 가슴이 막서 모유 이 안 나와요",아가 시간 중 가슴 막 모유 이 안
8009,9갤 아기 분유하는데 대체분유 추천해주세요~,9개월,9갤 아기 분유하는데 대체 분유 추천해주세요~,아기 분유 대체 분유 추천
8010,9갤아기 시중 시중끊기!!,9개월,9갤아기 시간 중 시 중 끊기!!,시간 중 시 중
8011,9월 아기 시수요,9개월,9월 아기 시 수요,아기 시 수요
8012,시중,9개월,시중,시중
8013,9월 아기 모유나 분유는 시까지 먹여야되는지?,9개월,9월 아기 모유나 분유는 시까지 먹여야 되는지?,아기 모유 분유 시
8014,9월 분유 먹기싫어하는 아기ㅠㅠㅠㅠㅠ,9개월,9월 분유 먹기 싫어하는 아기 ㅠㅠㅠㅠㅠ,분유 먹기 아기
8015,9월 다유도전이요,9개월,9월 다유도전이요,유도 전이
8016,9월 시중인데요!!,9개월,9월 시간 중인데요!!,시간 중 요
8017,아기가 모유모유젖꼭지 깨때 어떻게하셨어요ㅜㅜ,9개월,아기가 모유 젖꼭지 깨때 어떻게 하셨어요 ㅜㅜ,아기 모유 젖꼭지 깨때
8018,시중 9월아기.. 모유양이 적은걸까요?,9개월,시간 중 9월 아기.. 모유 양이 적은 걸까요?,시간 중 아기 모유 양 요
8019,9갤 유아식 분유,9개월,9갤 유아식 분유,유아식 분유
8020,9갤아이 시수ㅜ,9개월,9갤 아이 시 수ㅜ,아이 시 수
8021,9갤진아기 분유양좀알려주세요,9개월,9갤 진아기 분유 양 좀 알려주세요,진 아기 분유 양 좀
8022,9월 식 량봐주세요,9개월,9월 식 량 봐주세요,식 량
8023,9월 분유요,9개월,9월 분유요,분유
8024,9월 아가인데 분유 안먹여도 되나요?,9개월,9월 아가인데 분유 안 먹여도 되나요?,아가 분유 안
8025,9월아기인데너무안먹어요,9개월,9월 아기인데 너무 안 먹어요,아기 안
8026,시 9월.. 분유 거부,9개월,시 9월.. 분유 거부,시 분유 거부
8027,9월 정도 아기 횟수요~,9개월,9월 정도 아기 횟수요~,정도 아기 횟수
8028,9월 아기 하루 총 량 어느 정도 나오나요?,9개월,9월 아기 하루 총 량 어느 정도 나오나요?,아기 하루 총 량 정도
8029,식 잘안먹는9월아기.. 모유끊고 분유으로 넘어가는게날까요?,9개월,식 잘 안 먹는 9월 아기.. 모유 끊고 분유으로 넘어가는 게 날까요?,식 안 아기 모유 분유 로 게 요
8030,모유중 임신하면,9개월,모유 중 임신하면,모유 중 임신
8031,9월에 분유 바꿔도 될까요?,9개월,9월에 분유 바꿔도 될까요?,분유 요
8032,9월 아기 분유 갈아타는데 분유해요...,9개월,9월 아기 분유 갈아타는데 분유해요...,아기 분유 분유
8033,9월 아기 모유시 에 ,9개월,9월 아기 모유 시 에,아기 모유 시
8034,9월 아기 시분들 몇 음식 하세요?,9개월,9월 아기 시간 분들 몇 음식 하세요?,아기 시간 몇 음식
8035,시 9월 먹는 양.. 모유 너무 안먹어요,9개월,시간 9월 먹는 양.. 모유 너무 안 먹어요,시간 양 모유 안
8036,시수가 몇시부터 몇시까지를 얘기하는 걸까요?,9개월,시수가 몇 시부터 몇 시까지를 얘기하는 걸까요?,수가 몇 시 몇 시 얘기 요
8037,9월 힙 분유 600g짜리는 만에 다 먹나요?,9개월,9월 힙 분유 600g짜리는 만에 다 먹나요?,힙 분유 리
8038,9갤 시아기 다유중인데 모유보고 악해요...,9개월,9갤 시간 아기 다유 중인데 모유 보고 악해요...,시간 아기 유 중 모유 보고
8039,내일 모레 9월 아가  좀 봐주세요,9개월,내일 모레 9월 아가 좀 봐주세요,내일 모레 아가 좀
8040,9갤 시중 모유 끊으셨나요?,9개월,9갤 시 중 모유 끊으셨나요?,시 중 모유
8041,모유 290일째 갑작스런 지칭로 인한 다유어떻게 조언,9개월,모유 290일째 갑작스런 지 칭로 인 한 다유 어떻게 조언,모유 칭로 인 유 조언
8042,"9갤 시 아기, 그동안 빈모유을 빨았나봐요...",9개월,"9갤 시간 아기, 그동안 빈 모유을 빨았나 봐요...",시간 아기 그동안 빈 모유 을
8043,9월 분유양..궁금해요,9개월,9월 분유 양..궁금해요,분유 양
8044,9월인데요 모유. 빨대?!,9개월,9월인데요 모유. 빨대?!,모유 빨대
8045,9월 모유아기 횟수 어떻게 되나요?,9개월,9월 모유아기 횟수 어떻게 되나요?,유아기 횟수
8046,9월 아가 5시쯤먹고 다시 수면드는아기 5시분유 시인가요? 끊어야할까요?,9개월,9월 아가 5시쯤 먹고 다시 수면드는 아기 5시분유 시인가요? 끊어야 할까요?,아가 다시 수면 아기 시 요
8047,9월 후기식 ,9개월,9월 후기식,후기
8048,9월아기 시에서 이제 혼합하려구요.,9개월,9월 아기 시간에서 이제 혼합하려 구요.,아기 시간 이제 혼합
8049,9월 아기 빨대  문이요,9개월,9월 아기 빨대 문이요,아기 빨대 이요
8050,시에 자꾸 깨는 9월 아기,9개월,시에 자꾸 깨는 9월 아기,시 자꾸 아기
8051,9월 분유 어떤거 먹이세요?,9개월,9월 분유 어떤 거 먹이세요?,분유 거
8052,공갈 안무는 9월 아기~ 시에 처럼 모유 찾아요~ 시수 끊기.....ㅠㅠ 팁 좀 주세요ㅠㅠ,9개월,공갈 안무는 9월 아기~ 시에 처럼 모유 찾아요~ 시 수 끊기.....ㅠㅠ 팁 좀 주세요ㅠㅠ,공갈 안무 아기 시 처럼 모유 시 수 팁 좀
8053,9월 아기 요,9개월,9월 아기 요,아기 요
8054,9월 아기 분유 궁금해요,9개월,9월 아기 분유 궁금해요,아기 분유
8055,9월 아이 총분유양,9개월,9월 아이 총분유양,아이 분유
8056,모유 9월 째 하는데요(혼합) 생리 할수도 있나요?,9개월,모유 9월 째 하는데요(혼합) 생리 할 수도 있나요?,모유 혼합 생리 수도
8057,9월 시중인데 모유양이 준것 같아요 ㅠㅠ시맘님들 도와주세요,9개월,9월 시간 중인데 모유 양이 준 것 같아 요 ㅠㅠ시간 맘님들 도와 주세요,시간 중 모유 양 준 것 요 시간 맘 도
8058,9월아가분유이요,9개월,9월 아가분유이요,아가 유이
8059,9월아기 시수 안하면 모유양 많이 줄까요?,9개월,9월 아기 시 수 안 하면 모유 양 많이 줄까요?,아기 시 수 안 모유 양 요
8060,9월 압타밀 양,9개월,9월 압타밀 양,압 타밀 양
8061,9월 ... 다유 고민이요,9개월,9월 ... 다유 고민이요,유 고민
8062,모유 이나는 아가들 어찌 하세요...?,9개월,모유 이 나는 아가들 어찌 하세요...?,모유 이 나 아가 어찌
8063,5일째 모유 안먹이는데 대체할만한거,9개월,5일째 모유 안 먹이는데 대체할 만한 거,모유 안 대체 만 거
8064,막수하고 바로자나요? 몇시있다가 자나요?(9갤),9개월,막수하고 바로 자나요? 몇 시 있다가 자나요?(9갤),바로 몇 시
8065,220이 모잘라하면요?,9개월,220이 모잘라 하면요?,이 모
8066,9월 처음 우유빨리 주신분들~,9개월,9월 처음 우유 빨리 주신 분들~,처음 우유 주신
8067,9월 다유하기 적기인가요?,9개월,9월 다유하기 적기인가요?,유하 기 적기
8068,9월아기 다유고민,9개월,9월 아기 다 유고민,아기 유 고민
8069,10월되가는애기 모유에서 분유로 갈아타도될까요?,9개월,10월 되가는 애기 모유에서 분유로 갈아타도 될까요?,애기 모유 분유 요
8070,9월아기 ,9개월,9월 아기,아기
8071,9월아기 수면과 모유젖꼭지의  ㅠㅠ 끊는 법,9개월,9월 아기 수면과 젖꼭지 종류의 ㅠㅠ 끊는 법,아기 수면 젖꼭지 종류 법
8072,7월아기 량& 조언구해요,9개월,7월 아기 량& 조언 구해요,아기 량 조언 구해
8073,시아기 2월째 같은 무게....,9개월,시간 아기 2월째 같은 무게....,시간 아기 무게
8074,9월 아기 시중요,9개월,9월 아기 시 중요,아기 시 중요
8075,9갤 아기 모유 어떻게 하고 계세요??,9개월,9갤 아기 모유 어떻게 하고 계세요??,아기 모유 계세
8076,9월 아기 유축시 중인데 시지나면 우유 바로 먹여도 되나요?,9개월,9월 아기 유축시간 중인데 시간 지나면 우유 바로 먹여도 되나요?,아기 유 축시 중 시간 우유 바로
8077,300일 지났는데도 3시인데 다른분들은 어떤가요?,9개월,300일 지났는데도 3시인데 다른 분들은 어떤가요?,다른 분 가요
8078,9월 시아기 직수거부 ㅠㅠ,9개월,9월 시간 아기 직수거부 ㅠㅠ,시간 아기 직 거부
8079,9월아기  식양 조언구해요!,9개월,9월 아기 식 양 조언구해요!,아기 식 양 구해
8080,만9월 아가 식후 어찌하세요?,9개월,만 9월 아가 식후 어찌 하세요?,만 아가 식후 어찌
8081,9월 아기  이요,9개월,9월 아기 이요,아기 이요
8082,9월 아기 혼합 후 다유 & 분유 (음식알러지있음),9개월,9월 아기 혼합 후 다유 & 분유 (음식 알러지 있음),아기 혼합 후 유 분유 음식 알러지
8083,만 9월  아예 끝내도 될까요?,9개월,만 9월 아예 끝내도 될까요?,만 아예 요
8084,딱 9월인데 7.4kg 이예요.ㅜㅜ 무게가 안늘어요ㅜㅡㄴ,9개월,딱 9월인데 7.4kg 이예요. ㅜㅜ 무게가 안 늘어요 ㅜㅡㄴ,이예 무게 안
8085,시 9월분유명추천ㅜ,9개월,시간 9월분 유명 추천ㅜ,시간 유명 추천
8086,9월에 모유끊고 음식먹여도될까요?,9개월,9월에 모유 끊고 음식 먹여도 될까요?,모유 음식 요
8087,10월 아기 모유중인데 짐 잘 하고 있는지 ㅜㅜ,10개월,10월 아기 모유 중인데 짐 잘 하고 있는지 ㅜㅜ,아기 모유 중 짐
8088,시 10월아가인데요 분유를 식처럼 줘도되나요?,10개월,시간 10월 아가인데 요 분유를 식처럼 줘도 되나요?,시간 아가 요 분유 식
8089,"곧11월되는 아기 ,  횟수 잘먹이는걸까요?",10개월,"곧 11월 되는 아기 , 횟수 잘 먹이는 걸까요?",곧 아기 횟수 요
8090,323일 아기니다!,10개월,323일 아기니다!,아기 니
8091,10월 들어선 아가 분유양이 줄어드나요?,10개월,10월 들어선 아가 분유 양이 줄어드나요?,아가 분유 양 드 요
8092,10월아기 자세,10개월,10월 아기 자세,아기 자세
8093,10월 아기 꼭 분유나 모유를 먹어야되는거죠?,10개월,10월 아기 꼭 분유나 모유를 먹어야 되는 거죠?,아기 꼭 분유 모유 거
8094,시에서 분유로 갈때 모유삭부인 ..,10개월,시간에서 분유로 갈 때 모유삭부인 ..,시간 분유 때 모유 삭 부인
8095,10월아기 모유...,10개월,10월 아기 모유...,아기 모유
8096,"10월아기, 배앓이 분유 어떤게 좋을까요?",10개월,"10월 아기, 배앓이 분유 어떤 게 좋을까요?",아기 배앓이 분유 게
8097,어느덧 시 10월차.. 다유 어떻게 좀 공유해주세요ㅠㅠ,10개월,어느덧 시간 10월차.. 다 유 어떻게 좀 공유해주세요 ㅠㅠ,시간 유 좀 공유
8098,모유에서 분유넘어가려고 하는데요,10개월,모유에서 분유 넘어가려고 하는데요,모유 분유
8099,후기식 후 분유,10개월,후기식 후 분유,후기 후 분유
8100,10월 분유양 궁금해요,10개월,10월 분유 양 궁금해요,분유 양
8101,10월 시아기 분유로 갈아탈 때,10개월,10월 시간 아기 분유로 갈아 탈 때,시간 아기 분유 탈 때
8102,우량아는 모유를 하면 안되나요?,10개월,우량아는 모유를 하면 안 되나요?,우량 모유 안
8103,후기식 하고 막수양이 줄었어요,10개월,후기식 하고 막수양이 줄었어요,후기 막 수양
8104,10월 모유 -양이 확 줄어서 거의 안나오는데 원래 그런가요,10개월,10월 모유 -양이 확 줄어서 거의 안 나오는데 원래 그런가요,모유 양 확 거의 안 원래 가요
8105,만10월 모유을 거부해요 ㅠㅠ,10개월,만 10월 모유을 거부해요 ㅠㅠ,만 모유 을 거부
8106,10월아기 분유해요,10개월,10월 아기 분유해요,아기 분유
8107,"10월아기 다유하려하는데(분유,모유삭부)",10개월,"10월 아기 다유하려 하는데 (분유, 모유삭부)",아기 유하 려 분유 모유 삭부
8108,10월째 시중인데 영양제추천해주세요~,10개월,10월째 시간 중인데 영양제 추천해주세요~,시간 중 양제 추천
8109,다유첫쨋날인데 분유를 거부해요ㅠㅠ도와주새요,10개월,다유 첫 쨋날인데 분유를 거부해요 ㅠㅠ도와주새요,유 첫 쨋날 분유 거부 새
8110,10월아기 시수 ㅠ,10개월,10월 아기 시 수 ㅠ,아기 시 수
8111,10월아기 분유 나 먹나요?,10개월,10월 아기 분유 나 먹나요?,아기 분유 나
8112,후기식먹은후 바로 분유주는건가요?,10개월,후기식 먹은 후 바로 분유주는 건가요?,후기 후 바로 분유 건가
8113,10월아기 분유를 너무 안먹어요ㅠ,10개월,10월 아기 분유를 너무 안 먹어요ㅠ,아기 분유 안
8114,10월 시 갑자기 삭부..,10개월,10월 시간 갑자기 삭부..,시간 갑자기 삭부
8115,"다유중인데, 후기식할때  어떻게 하면 될까요??",10개월,"다유 중인데, 후기식할 때 어떻게 하면 될까요??",유 중 후기 때 요
8116,10월22일아기..분유 꼭 500-600먹어야되나요?하루네번 양좀봐주세요,10개월,10월 22일 아기..분유 꼭 500-600 먹어야 되나요? 하루 네 번 양 좀 봐주세요,아기 분유 꼭 하루 네 번 양 좀
8117,10월 모유거부 ..,10개월,10월 모유 거부 ..,모유 거부
8118,10월 시했는데 다유를 삭 분유 추천 부탁드립니다.,10개월,10월 시간 했는데 다유를 삭 분유 추천 부탁드립니다.,시간 유 삭 분유 추천
8119,10월 분유,10개월,10월 분유,분유
8120,10월아기 자기전에 분유먹어요 ㅜ ㅜ,10개월,10월 아기 자기 전에 분유 먹어요 ㅜ ㅜ,아기 자기 전 분유
8121,중 엽떡,10개월,중 엽 떡,중 엽 떡
8122,시10월에 접어드는데요..,10개월,시간 10월에 접어드는데요..,시간
8123,10월아기 분유ㅠㅠ,10개월,10월 아기 분유 ㅠㅠ,아기 분유
8124,10월 아기 분유먹고 바로 눕도 되나요?,10개월,10월 아기 분유 먹고 바로 눕도 되나요?,아기 분유 바로
8125,다유고민,10개월,다유고민,유 고민
8126,모유시까지 하셨나요,10개월,모유 시까지 하셨나요,모유 시
8127,10월아기 음식,10개월,10월 아기 음식,아기 음식
8128,10월아기 분유2번,10개월,10월 아기 분유 2번,아기 분유 번
8129,10월시아기  몇번하세요?,10개월,10월 시간 아기 몇 번 하세요?,시간 아기 몇 번
8130,10월 모유나 분유 안먹여도될까요??,10개월,10월 모유나 분유 안 먹여도 될까요??,모유 분유 안 요
8131,10월아기가 모유삭부 올수도 있나요? ㅠㅠ,10개월,10월 아기가 모유삭부 올 수도 있나요? ㅠㅠ,아기 모유 삭부 수도
8132,10월인데 분유 80먹어요ㅠㅠ,10개월,10월인데 분유 80먹어요 ㅠㅠ,분유
8133,10월 아기 모유다유후 분유 나 먹여야하나요?,10개월,10월 아기 모유 다유후 분유 나 먹여야 하나요?,아기 모유 유후 분유 나 하나요
8134,만10월 시아기 분유,10개월,만 10월 시간 아기 분유,만 시간 아기 분유
8135,"곧 11갤 되는 아기, 량 삭지 봐주세요~~",10개월,"곧 11갤 되는 아기, 량 삭지 봐주세요~~",곧 아기 량 삭
8136,10월아기 식 !!,10개월,10월 아기 식 !!,아기 식
8137,10월 모유,10개월,10월 모유,모유
8138,"[10월아기]뒤늦게 이앓이, 끊지못하는 시수 ㅠㅠ(공갈거부)",10개월,"[10월 아기] 뒤늦게 이 앓이, 끊지 못하는 시 수 ㅠㅠ(공갈거부)",아기 이 앓이 시 수 공갈 거부
8139,10월 하루 량 어떠세요?,10개월,10월 하루 량 어떠세요?,하루 량
8140,분유 시까지 먹이나요?,10개월,분유 시까지 먹이나요?,분유 시
8141,10월 아기  스케쥴 문이요~~,10개월,10월 아기 스케쥴 문이요~~,아기 스케쥴 이요
8142,식 분유 횟수 양 제 어떻게 좀 도와주세요ㅜㅜㅠ,10개월,식 분유 횟수 양 제 어떻게 좀 도와 주세요 ㅜㅜㅠ,식 분유 횟수 양 제 좀 도
8143,10월아기 분유 하루2번줘도 될까요?,10개월,10월 아기 분유 하루 2번 줘도 될까요?,아기 분유 하루 번 요
8144,시전아기 생우유 절대 안될까요?,10개월,시간 전 아기 생우유 절대 안 될까요?,시간 전 아기 생 우유 절대 안 요
8145,10월 시아기,10개월,10월 시간 아기,시간 아기
8146,10월 음식먹을때 자꾸 을 던지는데 어떻게 해줘야 하나요?,10개월,10월 음식 먹을 때 자꾸 을 던지는데 어떻게 해줘야 하나요?,음식 때 자꾸 하나요
8147,10월 다유,10개월,10월 다유,유
8148,10월 시아기 다유해보신분ㅜ,10개월,10월 시간 아기 다 유해보신 분ㅜ,시간 아기 유 분
8149,10갤 시수못끊겠어요..하,10개월,10갤 시 수 못 끊겠어요..하,시 수 못
8150,10월 19일 아기인데.. 식양 늘리고 모유양을 줄이고 싶은데,10개월,10월 19일 아기인데.. 식양 늘리고 모유 양을 줄이고 싶은데,아기 식 모유 양 줄
8151,10월 아기 분유할때 모유빨다가 뱉었다해요,10개월,10월 아기 분유할 때 모유 빨다가 뱉었다 해요,아기 분유 때 모유 해
8152,10월 아기 분유 나 먹나요?,10개월,10월 아기 분유 나 먹나요?,아기 분유 나
8153,10월아기 모유어야 수면드는데 고칠어떻게있나요?,10개월,10월 아기 모유어야 수면드는 데 고칠 어떻게 있나요?,아기 모유 수면 데
8154,10월아기 분유명 뭐 먹여야 할까요?,10개월,10월 아기 분 유명 뭐 먹여야 할까요?,아기 분 유명 뭐 요
8155,다유 죄감..,10개월,다유 죄감..,유 죄감
8156,시수 늦게 끊으신 분 계시나요??ㅠㅠ,10개월,시수 늦게 끊으신 분 계시나요? ?ㅠㅠ,수 분
8157,세끼 식 먹이시는 분들 아기 분유 하루 총 몇미리 먹나요?,10개월,세끼 식 먹이시는 분들 아기 분유 하루 총 몇 미리 먹나요?,끼 식 아기 분유 하루 총 몇 미리
8158,후기식 ,10개월,후기식,후기
8159,모유고자는 아기,10개월,모유고자는 아기,유고 아기
8160,10월아기 분유양,10개월,10월 아기 분유양,아기 분유
8161,식 후기  조언부탁드립니다~,10개월,식 후기 조언 부탁드립니다~,식 후기 조언
8162,10월아기 분유,10개월,10월 아기 분유,아기 분유
8163,시 10월 아기인데 지칭생겨서 분유해야하는데 도와주세요~,10개월,시간 10월 아기인데 지칭 생겨서 분유해야 하는데 도와 주세요~,시간 아기 지칭 분유 도
8164,도와주세요ㅠ후기식 150먹으면 분유는 시할까요? (뱃작은아기),10개월,도와 주세요 ㅠ후기식 150먹으면 분유는 시할까요? (뱃작은 아기),도 후기 분유 시 요 뱃작 아기
8165,10월 아기 하루 분유  줘야 하나요?,10개월,10월 아기 하루 분유 줘야 하나요?,아기 하루 분유 하나요
8166,후기 식 하려는데 분유이요ㅠㅠ,10개월,후기 식 하려는데 분유이요 ㅠㅠ,후기 식 분유
8167,10갤시중인데 주변 왜이러나요,10개월,10갤 시간 중인데 주변 왜 이러나요,시간 중 주변 왜
8168,10월 아기 시에서 분유로!,10개월,10월 아기 시간에서 분유로!,아기 시간 분유
8169,10월 시아기인데요 다유하고싶어요ㅠ,10개월,10월 시간 아기인데요 다 유하고 싶어요ㅠ,시간 아기 요 유하
8170,10월 아기 분유,10개월,10월 아기 분유,아기 분유
8171,10월 아가 다유시 분유 또는 생우유 주나요?,10개월,10월 아가 다유시 분유 또는 생우유 주나요?,아가 유시 분유 생 우유
8172,매운거먹고나서 했는데요,10개월,매운 거 먹고 나서 했는데요,거
8173,10월인데 아직까지 시수 ㅠㅠ 도와주세요 제요,10개월,10월인데 아직까지 시 수 ㅠㅠ 도와주세요 제요,시 수 제
8174,10월 모유 중인데요!,10개월,10월 모유 중인데요!,모유 중 요
8175,10갤째 시중인데 아직생리를 안할때 원가봐야하나요?,10개월,10갤째 시간 중인데 아직 생리를 안할 때 원가봐야 하나요?,시간 중 생리 때 원가 하나요
8176,모유는 시까지?,10개월,모유는 시까지?,모유 시
8177,10갤에 시 다유하고 분유로 갈아타려 하는데요~,10개월,10갤에 시간 다유하고 분유로 갈아타려 하는데요~,시간 유하 분유
